ID,Seção,Elemento/Campo,Conteúdo Atual (Site),Instruções para Andréa / Sugestão de Edição,Novo Conteúdo (Preencha aqui se quiser alterar)
CFG-01,Configuração Geral,Telefone WhatsApp Exibição,"(11) 94462-8445",Número formatado exibido nos botões e rodapé,
CFG-02,Configuração Geral,Telefone WhatsApp Link,"5511944628445",DDI + DDD + Número sem traços ou parênteses,
CFG-03,Configuração Geral,Mensagem Padrão WhatsApp,"Olá Andréa, gostaria de agendar uma consulta de Numerologia Terapêutica.",Mensagem automática enviada pelo botão principal do Hero e do Topo,
CFG-04,Configuração Geral,E-mail de Contato,"contato@andreasalgueiro.com.br",E-mail institucional exibido no rodapé,
CFG-05,Configuração Geral,Instagram Link,"https://instagram.com",Link do perfil oficial no Instagram,
CFG-06,Configuração Geral,Endereço / Localização,"Atendimento Presencial em São Paulo - SP e Online para todo o Brasil e exterior",Texto descritivo de localização no rodapé e topo,
NAV-01,Menu / Cabeçalho,Nome / Logotipo,"ANDRÉA SALGUEIRO",Nome em destaque no topo do site,
NAV-02,Menu / Cabeçalho,Subtítulo do Logo,"Numerologia Terapêutica",Subtítulo em caixa alta dourada,
NAV-03,Menu / Cabeçalho,Item Menu 1,"Sobre",Link para seção de biografia,
NAV-04,Menu / Cabeçalho,Item Menu 2,"Serviços",Link para lista de atendimentos,
NAV-05,Menu / Cabeçalho,Item Menu 3,"Diferenciais",Link para comparação humanizada vs IA,
NAV-06,Menu / Cabeçalho,Item Menu 4,"Depoimentos",Link para avaliações dos consulentes,
NAV-07,Menu / Cabeçalho,Item Menu 5,"FAQ",Link para perguntas frequentes,
NAV-08,Menu / Cabeçalho,Botão Topo WhatsApp,"Agendar Sessão",Texto do botão de chamada no menu superior,
HERO-01,Hero (Abertura),Badge Superior,"Atendimento Presencial em SP & Online para o Brasil",Pílula dourada acima do título principal,
HERO-02,Hero (Abertura),Título Principal (H1),"Descubra o mapa da sua essência com a Numerologia Terapêutica",Frase de maior impacto visual da página,
HERO-03,Hero (Abertura),Subtítulo / Descrição,"Uma consulta individual e profunda para alinhar seus ciclos, clarear suas escolhas e destravar seus caminhos — 100% humanizada e sem relatórios genéricos por IA.",Texto de apoio que reforça o valor da consulta,
HERO-04,Hero (Abertura),Destaque Rápido 1,"Análise de Ano Pessoal",Mini benefício abaixo do subtítulo,
HERO-05,Hero (Abertura),Destaque Rápido 2,"Gravação em áudio inclusa",Mini benefício abaixo do subtítulo,
HERO-06,Hero (Abertura),Destaque Rápido 3,"Dossiê em PDF completo",Mini benefício abaixo do subtítulo,
HERO-07,Hero (Abertura),Botão CTA Principal,"Agendar Consulta via WhatsApp",Botão principal dourado com ícone de WhatsApp,
HERO-08,Hero (Abertura),Botão Secundário,"Conhecer os 6 Atendimentos",Botão que desce a página para a seção de serviços,
HERO-09,Hero (Abertura),Garantia / Selo,"Atendimento confidencial, individual e exclusivo",Frase de segurança abaixo dos botões,
HERO-10,Hero (Abertura),Badge Flutuante Foto 1,"⭐ 5.0 (+1.500 Vidas Guiadas)",Selo de prova social sobre a foto principal,
HERO-11,Hero (Abertura),Badge Flutuante Foto 2,"São Paulo & Online Brasil / Mundo",Selo de localidade sobre a foto principal,
